Date,Open,High,Low,Close,Volume
09-10-2026,75.33,76.3,75.03,76.01,"2,00,49,029"
09-09-2026,76.34,76.72,75.87,76.03,"2,27,79,619"
09-08-2026,77.55,77.73,75.92,76.77,"3,38,65,473"
09-04-2026,82.17,82.69,78.23,78.25,"4,01,90,008"
09-03-2026,83.18,83.6,81.63,82.67,"2,40,06,369"
09-02-2026,80.55,83.12,80.3,82.73,"2,20,77,830"
09-01-2026,80.17,82.13,79.6,80.81,"2,11,64,920"
08-31-2026,81,81.73,80.65,81.05,"3,07,40,811"
08-28-2026,80.36,82.35,79.95,81.72,"2,90,92,689"
08-27-2026,81.07,81.15,79.28,79.84,"2,71,74,439"
08-26-2026,82.05,82.42,81.3,81.46,"2,28,74,881"
08-25-2026,79.65,82.46,79.4,82.23,"2,94,61,961"
08-24-2026,79.94,80.62,79.02,80.01,"2,10,85,301"
08-21-2026,80.29,80.49,79.17,79.59,"2,37,73,820"
08-20-2026,80.14,81.08,79.59,80.14,"2,71,18,420"
08-19-2026,78.25,81.16,78.1,80.22,"3,14,61,789"
08-18-2026,77.43,79.1,76.34,77.77,"3,61,51,273"
08-17-2026,77.8,78.53,75.47,76.02,"3,07,52,980"
08-14-2026,78.48,78.73,77.76,78.16,"2,67,50,961"
08-13-2026,76.01,78.4,75.44,78.24,"4,14,52,859"
08-12-2026,74.35,74.67,73.57,74.21,"2,07,73,131"
08-11-2026,76.2,76.9,74.48,74.79,"2,78,40,510"
08-10-2026,73.8,76.32,73.57,76.29,"2,69,59,939"
08-07-2026,73.12,74.5,73.08,74.14,"2,48,19,000"
08-06-2026,75.14,75.21,73.1,73.69,"2,88,92,689"
08-05-2026,75.11,75.3,73.16,74.2,"2,89,69,439"
08-04-2026,72.51,73.75,72.3,73.57,"4,28,77,879"
08-03-2026,72.77,73.95,72.18,73.33,"3,39,22,301"
07-31-2026,71.97,72.75,71.11,71.71,"3,58,47,449"
07-30-2026,71.48,73.32,70.55,73.17,"5,42,61,031"
07-29-2026,72.19,73.74,71.75,73.63,"4,37,37,594"
07-28-2026,72.07,73.76,71.23,72.39,"4,71,60,168"
07-27-2026,70.59,71.65,69.86,70.4,"3,90,90,762"
07-24-2026,69.29,70.68,67.97,70.09,"3,75,93,512"
07-23-2026,68.57,69.36,67.67,68.89,"4,50,29,059"
07-22-2026,69.37,70.57,68.35,68.53,"4,49,47,328"
07-21-2026,67.42,68.75,66.73,68.67,"5,65,65,793"
07-20-2026,68.32,68.38,66.69,67.6,"6,06,69,129"
07-17-2026,65.48,69.49,65.08,68.95,"14,20,29,203"
07-16-2026,73.95,74.68,72.94,74.35,"7,75,05,203"
07-15-2026,73.79,75.06,73.13,73.68,"3,28,54,301"
07-14-2026,72.64,74.01,72.28,73.53,"3,33,12,090"
07-13-2026,73.9,75.45,73.71,73.83,"3,51,01,793"
07-10-2026,75.44,75.7,72.51,73.37,"4,67,13,941"
07-09-2026,74.3,75.55,74.02,75.47,"3,63,05,648"
07-08-2026,76.27,76.64,74.89,75.59,"3,43,73,500"
07-07-2026,77.88,78.19,76.1,76.18,"3,32,57,270"
07-06-2026,77.08,77.84,75.71,76.02,"4,50,56,559"
07-02-2026,75.09,78.44,74.91,77.65,"5,55,41,738"
07-01-2026,72.59,74.36,72.33,74.19,"4,38,41,801"
06-30-2026,73.59,73.75,71,71.4,"4,92,40,898"
06-29-2026,74.62,76.07,73.73,73.78,"4,24,29,602"
06-26-2026,71.69,75.2,71.53,73.81,"7,49,90,273"
06-25-2026,71.33,72.94,70.86,70.9,"4,45,81,992"
06-24-2026,72.69,73.45,71.63,71.84,"4,80,01,449"
06-23-2026,73.26,73.96,72.63,72.82,"5,08,06,832"
06-22-2026,76.14,77.09,71.81,72.88,"8,22,03,266"
06-18-2026,76.93,78.24,76.12,77.38,"9,19,20,406"
06-17-2026,78.1,78.45,76.76,76.96,"5,03,38,781"
06-16-2026,81.9,81.93,77.71,78.72,"6,50,54,031"
06-15-2026,80.62,81.71,80.46,81.67,"3,64,30,801"
06-12-2026,81.58,82,79.28,80.34,"3,53,44,168"
06-11-2026,81.87,82.1,80.09,81.27,"3,34,17,641"
06-10-2026,81.71,82.75,80.98,82,"3,63,04,578"
06-09-2026,82.13,82.34,81.34,81.41,"3,47,87,191"
06-08-2026,81.66,83.08,81.34,82.64,"3,30,56,691"
06-05-2026,82.33,82.75,81,82.18,"4,34,74,113"
06-04-2026,83.19,83.7,81.37,81.56,"3,93,38,809"
06-03-2026,82.91,83.31,81.1,81.52,"3,67,14,738"
06-02-2026,85.61,85.98,83.29,83.33,"4,29,47,160"
06-01-2026,85.73,87.23,85.32,85.85,"3,27,47,221"
05-29-2026,86.2,86.67,85.66,86.02,"3,97,93,621"
05-28-2026,86.9,87.04,85.59,86.36,"3,88,03,801"
05-27-2026,87.05,88.5,86.82,87.35,"2,25,69,539"
05-26-2026,88.4,88.73,87.25,87.68,"2,40,14,539"
05-22-2026,89.1,89.97,88.17,88.6,"2,38,47,199"
05-21-2026,88.03,90.37,87.52,89.3,"2,86,13,850"
05-20-2026,88.52,88.55,87.5,88.09,"2,34,63,359"
05-19-2026,90.14,91.48,88.69,89.33,"3,45,45,727"
05-18-2026,86.5,89.82,86.33,89.65,"3,58,00,480"
05-15-2026,87.69,89.49,86.69,87.02,"3,23,35,660"
